index,Ticker,Company,Sector,Subsector,Annual LogReturn,E,Risk
74,IFS,INFAS HOLDING AG  O.N.,Industrial ,Industrial Products & Services,0.10464355297101012,0.0009099439388783488,0.02562082420897563
75,KSB,KSB SE+CO.KGAA  ST O.N.,Industrial,Industrial Machinery ,-0.34101937039949237,-0.0014268592903744451,0.021014564503222696
76,NWX,NORDWEST HANDEL AG,Industrial,Industrial Products & Services,0.15125063261347907,0.0014404822153664674,0.013307467939649409
77,PIT,PITTLER MASCHINENFABRIK AG,Industrial,Industrial Machinery,-0.1067709481763966,-0.0005866535614087725,0.04630823083850698
78,SCM,SCHUMAG AG O.N.,Industrial,Industrial Machinery ,0.1792499207198136,0.0007141431104375044,0.01023067417065302
79,SIM,SIMONA AG O.N.,Chemicals,"Chemicals, Commodity",0.12051061179394229,0.0005000440323400095,0.024400570037175898
80,SGU,SINO-GERMAN UNITED AG O.N.,Industrial,"Industrial, Diversified",0.0848689741817136,0.0003381234031143968,0.010796842044849318
81,SPM,SPLENDID MEDIEN AG O.N.,Media,Movies & Entertainment,0.05712799645579223,0.0002944742085350115,0.032200147093899845
83,MSH,WASGAU PRODUKTIONS & HANDELS NA O.N.,Food & Beverages,Food,0.125405796800935,0.0005313804949192161,0.020182133981859446
84,DAR,DATRON AG INH.O.N.,Industrial,Industrial Machinery,0.4054019271452774,0.0016151471201007067,0.014371893837896634
85,DLX,DELIGNIT AG      INH.O.N.,Industrial,Renewable Energies,0.30851120165638035,0.0012291282934517147,0.017458329308940135
86,DIS,DVS TECHNOLOGY AG INH ON,Industrial,"Industrial, Diversified",0.3201973718639061,0.00127568674049365,0.014234112030216064
87,EQS,EQS GROUP AG NA O.N.,Software,IT-Services,0.004125094519470102,1.8415600533348668e-05,0.026577311545696307
88,MUX,MUTARES KGAA  NA O.N.,Financial Services,Private Equity & Venture Capital,-0.23333444175997098,-0.0009296192898803625,0.03699645504893904
89,NTG,NABALTEC AG INH.,Industrial,Industrial Products & Services,0.008307804470324837,3.30988225909356e-05,0.012425657650006654
90,NUVA,NORATIS AG  INH. O.N.,Financial Services,Real Estate,0.5177040041756691,0.0020625657536879247,0.020157880641664638
91,PBY,PUBLITY AG NA O.N.,Financial Services,Real Estate,0.18614043536066405,0.0007415953600026456,0.0065883818656237965
